prime,trace
12497,29
12503,-107
12511,-113
12517,-49
12527,49
12539,-132
12541,9
12547,7
12553,-178
12569,3
12577,73
12583,52
12589,179
12601,-61
12611,-96
12613,-4
12619,-105
12637,108
12641,86
12647,-64
12653,95
12659,-108
12671,99
12689,-56
12697,-1
12703,-68
12713,82
12721,140
12739,70
12743,-104
12757,85
12763,220
12781,112
12791,115
12799,196
12809,6
12821,91
12823,86
12829,106
12841,14
12853,-31
12889,-37
12893,-154
12899,-160
12907,-42
12911,-88
12917,-49
12919,-40
12923,-51
12941,-66
12953,-144
12959,-201
12967,-114
12973,-16
12979,-76
12983,12
13001,73
13003,101
13007,82
13009,-72
13033,67
13037,18
13043,104
13049,10
13063,-70
13093,-38
13099,-99
13103,-84
13109,-165
13121,-52
13127,13
13147,-143
13151,198
13159,72
13163,-76
13171,149
13177,87
13183,116
13187,12
13217,195
13219,211
13229,-98
13241,22
13249,-142
13259,148
13267,17
13291,139
13297,182
13309,50
13313,-93
13327,152
13331,-48
13337,113
13339,196
13367,-117
13381,-194
13397,-82
13399,104
13411,20
13417,-104
13421,-10
13441,-22
13451,125
13457,148
13463,-146
13469,136
13477,22
13487,-18
13499,-74
13513,-39
13523,-180
13537,2
13553,130
13567,172
13577,-84
13591,-121
13597,154
13613,-174
13619,-4
13627,124
13633,-68
13649,30
13669,-85
13679,79
13681,1
13687,-142
13691,-5
13693,86
13697,118
13709,221
13711,179
13721,-59
13723,-128
13729,77
13751,-4
13757,18
13759,-67
13763,40
13781,5
13789,-44
13799,133
13807,208
13829,154
13831,19
13841,50
13859,32
13873,-94
13877,-98
13879,127
13883,-180
13901,-8
13903,-124
13907,84
13913,-38
13921,10
13931,-123
13933,194
13963,-212
13967,130
13997,5
13999,103
14009,1
14011,-204
14029,-91
14033,120
14051,-12
14057,-2
14071,107
14081,-105
14083,-51
14087,24
14107,8
14143,52
14149,-160
14153,154
14159,-102
14173,34
14177,42
14197,-5
14207,172
14221,172
14243,-180
14249,106
14251,60
14281,-218
14293,62
14303,-28
14321,84
14323,-4
14327,-123
14341,141
14347,-133
14369,-147
14387,-192
14389,-177
14401,132
14407,-98
14411,64
14419,58
14423,-73
14431,-38
14437,-174
14447,139
14449,-34
14461,-2
14479,-95
14489,239
14503,102
14519,-38
14533,55
14537,-51
14543,-19
14549,-54
14551,-106
14557,-50
14561,-93
14563,148
14591,32
14593,80
14621,-204
14627,-62
14629,-67
14633,0
14639,69
14653,-223
14657,-219
14669,138
14683,-176
14699,132
14713,-49
14717,-87
14723,25
14731,-76
14737,-193
14741,-117
14747,95
14753,178
14759,-154
14767,118
14771,-197
14779,10
14783,-21
14797,58
14813,-114
14821,232
14827,113
14831,-7
14843,-168
14851,-95
14867,117
14869,-11
14879,-51
14887,18
14891,210
14897,-102
14923,-124
14929,238
14939,-84
14947,-32
14951,137
14957,207
14969,234
14983,-40
15013,160
15017,-146
15031,-77
